step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
140,CASH_OUT,285073.76,229352.64,0.0,0.0,285073.76,0
402,CASH_OUT,204657.38,5093.0,0.0,911883.62,1116541.0,0
184,CASH_OUT,27554.1,0.0,0.0,154247.81,181801.91,0
210,CASH_OUT,100950.61,0.0,0.0,3946646.29,4047596.9,0
140,CASH_OUT,42737.06,0.0,0.0,409890.88,364619.44,0
164,CASH_OUT,119690.45,863.0,0.0,6937051.36,7056741.81,0
207,CASH_OUT,69515.54,0.0,0.0,199041.51,268557.05,0
381,CASH_OUT,47826.82,13605.0,0.0,1416741.38,1464568.2,0
202,CASH_OUT,153847.94,11420.0,0.0,388733.22,542581.16,0
129,CASH_OUT,226463.13,57504.63,0.0,3240210.07,3284831.03,0
308,TRANSFER,18216809.87,0.0,0.0,39734418.95,57951228.82,0
137,CASH_OUT,27130.54,20945.0,0.0,9300.06,36430.61,0
261,CASH_OUT,156933.76,10275.0,0.0,68653.06,225586.81,0
233,TRANSFER,592443.66,592443.66,0.0,0.0,0.0,1
13,CASH_OUT,559123.89,5554.0,0.0,0.0,559123.89,0
160,CASH_OUT,44737.16,0.0,0.0,886935.12,931672.28,0
284,TRANSFER,1466187.45,0.0,0.0,2115114.62,3581302.06,0
24,TRANSFER,79045.48,1589.0,0.0,202677.34,281722.82,0
34,CASH_OUT,35257.66,5506.0,0.0,3504862.81,3540120.47,0
188,CASH_OUT,196141.2,0.0,0.0,255700.85,451842.05,0
167,CASH_OUT,147638.22,0.0,0.0,2155342.88,2302981.1,0
307,CASH_OUT,152211.0,0.0,0.0,595533.78,747744.79,0
179,CASH_OUT,548098.63,5187.0,0.0,508296.96,1405692.27,0
206,CASH_OUT,187518.08,52816.0,0.0,0.0,187518.08,0
328,CASH_OUT,99072.97,17803.0,0.0,0.0,99072.97,0
420,TRANSFER,625428.07,0.0,0.0,9214035.56,9839463.63,0
256,TRANSFER,531829.38,22284.41,0.0,841805.75,1717663.11,0
212,CASH_OUT,348519.95,0.0,0.0,3367848.14,3716368.09,0
594,CASH_OUT,123980.94,8123.0,0.0,1645410.83,1769391.77,0
350,CASH_OUT,239022.35,198725.0,0.0,169848.23,408870.57,0
349,CASH_OUT,58733.31,0.0,0.0,123017.0,181750.31,0
252,TRANSFER,1521939.76,89630.0,0.0,103535.25,1625475.01,0
186,CASH_OUT,71757.42,0.0,0.0,98064.98,169822.4,0
43,CASH_OUT,114224.6,118758.0,4533.4,0.0,114224.6,0
205,CASH_OUT,61810.89,0.0,0.0,1874666.09,1936476.98,0
183,CASH_OUT,334274.11,10854.0,0.0,0.0,334274.11,0
379,CASH_OUT,253138.63,149132.0,0.0,90606.37,343745.0,0
212,CASH_OUT,20926.63,0.0,0.0,690070.31,710996.95,0
275,CASH_OUT,261906.75,394.0,0.0,150116.05,190952.42,0
20,CASH_OUT,88778.6,21615.0,0.0,1039250.09,1128028.69,0
